         9512 function calls (9468 primitive calls) in 0.260 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 threading.py:1058(_Timer)
        1    0.000    0.000    0.000    0.000 common.py:119(validate_boolean_or_string)
        1    0.000    0.000    0.000    0.000 client_options.py:103(ClientOptions)
        1    0.000    0.000    0.000    0.000 ismaster.py:48(IsMaster)
        1    0.000    0.000    0.000    0.000 random.py:271(choice)
        1    0.000    0.000    0.000    0.000 pool.py:135(SocketInfo)
        2    0.000    0.000    0.000    0.000 threading.py:627(_newname)
        1    0.000    0.000    0.000    0.000 socket.py:235(_fileobject)
        1    0.000    0.000    0.000    0.000 calendar.py:66(_localized_day)
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
        1    0.000    0.000    0.000    0.000 command_cursor.py:29(__init__)
        1    0.000    0.000    0.000    0.000 topology.py:36(Topology)
        2    0.000    0.000    0.000    0.000 threading.py:296(_acquire_restore)
        2    0.000    0.000    0.000    0.000 threading.py:995(isAlive)
        1    0.000    0.000    0.000    0.000 pool.py:61(PoolOptions)
        9    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        2    0.000    0.000    0.000    0.000 periodic_executor.py:123(_register_executor)
        1    0.000    0.000    0.000    0.000 tempfile.py:501(SpooledTemporaryFile)
        1    0.000    0.000    0.000    0.000 <string>:1(GSSAPIProperties)
        2    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
        2    0.000    0.000    0.000    0.000 threading.py:1152(currentThread)
        2    0.000    0.000    0.000    0.000 py3compat.py:84(itervalues)
        1    0.000    0.000    0.000    0.000 tz_util.py:31(__init__)
        2    0.000    0.000    0.000    0.000 threading.py:1024(daemon)
        8    0.000    0.000    0.000    0.000 {method '__subclasshook__' of 'object' objects}
        6    0.000    0.000    0.000    0.000 threading.py:63(_note)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        6    0.000    0.000    0.000    0.000 {method 'unpack' of 'Struct' objects}
        2    0.000    0.000    0.000    0.000 topology_description.py:112(server_descriptions)
        2    0.000    0.000    0.000    0.000 threading.py:293(_release_save)
        6    0.000    0.000    0.000    0.000 read_preferences.py:41(_validate_tag_sets)
        2    0.000    0.000    0.000    0.000 ismaster.py:110(max_wire_version)
        1    0.000    0.000    0.000    0.000 thread_util.py:38(acquire)
        1    0.000    0.000    0.000    0.000 settings.py:26(TopologySettings)
        4    0.000    0.000    0.000    0.000 sre_parse.py:134(__setitem__)
        7    0.000    0.000    0.000    0.000 {method 'release' of 'thread.lock' objects}
        1    0.000    0.000    0.000    0.000 read_preferences.py:182(__init__)
        6    0.000    0.000    0.000    0.000 {globals}
        1    0.000    0.000    0.000    0.000 son.py:95(__new__)
        1    0.000    0.000    0.000    0.000 settings.py:27(__init__)
        1    0.000    0.000    0.000    0.000 read_preferences.py:210(__init__)
        6    0.000    0.000    0.000    0.000 threading.py:569(isSet)
        2    0.000    0.000    0.000    0.000 common.py:112(validate_boolean)
        1    0.000    0.000    0.000    0.000 regex.py:42(Regex)
        1    0.000    0.000    0.000    0.000 command_cursor.py:25(CommandCursor)
        1    0.000    0.000    0.000    0.000 son.py:33(SON)
        3    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 py3compat.py:81(iteritems)
        1    0.000    0.000    0.000    0.000 binary.py:116(Binary)
        1    0.000    0.000    0.000    0.000 calendar.py:132(__init__)
        4    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 threading.py:124(_RLock)
        1    0.000    0.000    0.000    0.000 tempfile.py:372(_TemporaryFileWrapper)
        1    0.000    0.000    0.000    0.000 urllib.py:116(URLopener)
        1    0.000    0.000    0.000    0.000 read_preferences.py:234(__init__)
        2    0.000    0.000    0.000    0.000 {_hashlib.openssl_md5}
        5    0.000    0.000    0.000    0.000 common.py:508(read_preference)
        1    0.000    0.000    0.000    0.000 dbref.py:23(DBRef)
        3    0.000    0.000    0.000    0.000 {time.time}
        1    0.000    0.000    0.000    0.000 sre_parse.py:225(_class_escape)
        1    0.000    0.000    0.000    0.000 read_preferences.py:263(__init__)
        1    0.000    0.000    0.000    0.000 {posix.uname}
        4    0.000    0.000    0.000    0.000 common.py:491(codec_options)
        1    0.000    0.000    0.000    0.000 tempfile.py:108(_RandomNameSequence)
        1    0.000    0.000    0.000    0.000 random.py:650(WichmannHill)
        1    0.000    0.000    0.000    0.000 __init__.py:857(BSON)
        1    0.000    0.000    0.000    0.000 atexit.py:37(register)
        1    0.000    0.000    0.000    0.000 calendar.py:376(HTMLCalendar)
        4    0.000    0.000    0.000    0.000 {posix.getpid}
        1    0.000    0.000    0.000    0.000 pool.py:324(__hash__)
